index,geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
0,1037,-23.54562128115268,-46.63929204800168,sao paulo,SP
1,1046,-23.54608112703553,-46.64482029837157,sao paulo,SP
2,1046,-23.54612896641469,-46.64295148361138,sao paulo,SP
3,1041,-23.5443921648681,-46.63949930627844,sao paulo,SP
4,1035,-23.541577961711493,-46.64160722329613,sao paulo,SP
5,1012,-23.547762303364262,-46.63536053788448,são paulo,SP
6,1047,-23.54627311241268,-46.64122516971552,sao paulo,SP
7,1013,-23.546923208436723,-46.6342636964915,sao paulo,SP
8,1029,-23.543769055769133,-46.63427784085132,sao paulo,SP
9,1011,-23.547639550320632,-46.63603162315495,sao paulo,SP
10,1013,-23.547325128224376,-46.63418378613892,sao paulo,SP
11,1032,-23.53841810407414,-46.634778375266734,sao paulo,SP
12,1014,-23.546435343326205,-46.63383023397196,sao paulo,SP
13,1012,-23.548945985189437,-46.63467113292871,sao paulo,SP
14,1037,-23.54518734081604,-46.63785524104107,são paulo,SP
15,1046,-23.54608112703553,-46.64482029837157,sao paulo,SP
16,1039,-23.54188300998332,-46.63991946670314,sao paulo,SP
17,1024,-23.541389521053937,-46.62989908781218,são paulo,SP
18,1009,-23.54693540437998,-46.63658792659698,sao paulo,SP
19,1046,-23.54588427921401,-46.64316319124004,sao paulo,SP
20,1046,-23.545165891770928,-46.643785796266464,sao paulo,SP
21,1020,-23.55223547100232,-46.6284406588955,são paulo,SP
22,1011,-23.546690486964888,-46.6354469588072,são paulo,SP
23,1043,-23.546656718016017,-46.64078762115524,são paulo,SP
24,1050,-23.549773516504185,-46.64559900666509,sao paulo,SP
25,1045,-23.541593762969622,-46.64189378810082,sao paulo,SP
26,1009,-23.545429533441077,-46.63571531432852,sao paulo,SP
27,1007,-23.550392524842728,-46.63730164071784,sao paulo,SP
28,1032,-23.5398418758395,-46.63514797691531,são paulo,SP
29,1041,-23.543539449073783,-46.64057731057763,sao paulo,SP
30,1005,-23.549819091869107,-46.63560588995324,sao paulo,SP
31,1037,-23.54670459977496,-46.64033633250615,são paulo,SP
32,1017,-23.55001091199737,-46.63116636914989,são paulo,SP
33,1046,-23.54532011933758,-46.64406863434122,sao paulo,SP
34,1019,-23.552151883432384,-46.63080224715792,sao paulo,SP
35,1032,-23.540774688874112,-46.63551484303775,sao paulo,SP
36,1017,-23.5492954052167,-46.63207469510652,sao paulo,SP
37,1050,-23.549009406053425,-46.64281228183975,sao paulo,SP
38,1050,-23.548755593946588,-46.642789203733535,sao paulo,SP
39,1027,-23.538301166801343,-46.63076391104508,sao paulo,SP
40,1050,-23.54985418067981,-46.643139396906825,sao paulo,SP
41,1013,-23.5471192492354,-46.634232699405686,sao paulo,SP
42,1033,-23.54032130474925,-46.636394815973325,sao paulo,SP
43,1009,-23.54569153926945,-46.635866061486446,sao paulo,SP
44,1046,-23.54608112703553,-46.64482029837157,sao paulo,SP
45,1050,-23.54874766250217,-46.64239136704376,sao paulo,SP
46,1032,-23.54119147654225,-46.63499346058632,sao paulo,SP
47,1020,-23.552549496537548,-46.63163152553523,sao paulo,SP
48,1006,-23.55052430835593,-46.63669363835193,sao paulo,SP
49,1034,-23.54239162719593,-46.63770927785183,sao paulo,SP
50,1020,-23.552482452132203,-46.62938955675458,sao paulo,SP
51,1047,-23.54660531805078,-46.641982174447385,sao paulo,SP
52,1042,-23.54487359810152,-46.64030309449483,sao paulo,SP
53,1034,-23.542908915344253,-46.63679724785041,sao paulo,SP
54,1047,-23.54599881709849,-46.640834743407,sao paulo,SP
55,1035,-23.54020455565808,-46.64414705704306,sao paulo,SP
56,1027,-23.538670334439413,-46.62934557285476,sao paulo,SP
57,1046,-23.54638197224308,-46.642893706619056,são paulo,SP
58,1042,-23.54505164917197,-46.64007245239201,sao paulo,SP
59,1040,-23.540316757429707,-46.63735536871719,sao paulo,SP
60,1046,-23.54639669248079,-46.64305934055624,sao paulo,SP
61,1017,-23.54981334999131,-46.63035027254893,sao paulo,SP
62,1026,-23.539494799586286,-46.63284391414975,são paulo,SP
63,1033,-23.539147179866543,-46.63583236462368,sao paulo,SP
64,1036,-23.541700023861782,-46.64131782056096,sao paulo,SP
65,1046,-23.54608112703553,-46.64482029837157,sao paulo,SP
66,1009,-23.54693540437998,-46.63658792659698,sao paulo,SP
67,1046,-23.54608112703553,-46.64482029837157,sao paulo,SP
68,1047,-23.546774768769357,-46.64251431141433,são paulo,SP
69,1045,-23.542925000621707,-46.643423947383695,sao paulo,SP
70,1014,-23.547082268784923,-46.63340844117833,sao paulo,SP
71,1048,-23.547448918662464,-46.64016924063704,são paulo,SP
72,1046,-23.54532011933758,-46.64406863434122,sao paulo,SP
73,1002,-23.54831797807146,-46.63542110199666,sao paulo,SP
74,1033,-23.536156075768947,-46.63565005635056,sao paulo,SP
75,1048,-23.547052131282804,-46.639477959749584,sao paulo,SP
76,1014,-23.546453343326203,-46.63394723397195,sao paulo,SP
77,1031,-23.536864121011018,-46.63349313820771,sao paulo,SP
78,1029,-23.54130569969415,-46.63285261754857,sao paulo,SP
79,1050,-23.54985418067981,-46.643139396906825,sao paulo,SP
80,1032,-23.540774688874112,-46.63551484303775,sao paulo,SP
81,1031,-23.537304315614183,-46.63386243849112,sao paulo,SP
82,1046,-23.54608112703553,-46.64482029837157,sao paulo,SP
83,1022,-23.54498660505508,-46.63345367485142,sao paulo,SP
84,1008,-23.54425493154535,-46.634639135589296,sao paulo,SP
85,1009,-23.546340513734236,-46.63623850320264,sao paulo,SP
86,1048,-23.547448918662464,-46.64016924063704,são paulo,SP
87,1010,-23.547806958346342,-46.63612181853806,sao paulo,SP
88,1020,-23.55253336164808,-46.62960898251487,sao paulo,SP
89,1036,-23.541700023861782,-46.64131782056096,sao paulo,SP
90,1003,-23.54903244546711,-46.63531311226845,sao paulo,SP
91,1013,-23.547325128224376,-46.63418378613892,sao paulo,SP
92,1045,-23.54230306549716,-46.64280268887412,sao paulo,SP
93,1013,-23.547686322234377,-46.6341397692307,são paulo,SP
94,1046,-23.54608112703553,-46.64482029837157,sao paulo,SP
95,1046,-23.54612896641469,-46.64295148361138,sao paulo,SP
96,1042,-23.544667372468112,-46.64066942714524,são paulo,SP
97,1009,-23.546340513734236,-46.63623850320264,sao paulo,SP
98,1050,-23.549107326677785,-46.644104604074144,são paulo,SP
99,1001,-23.54929199999999,-46.633559478233785,sao paulo,SP
100,1026,-23.53984025062037,-46.6302639919499,sao paulo,SP
101,1014,-23.54631891978764,-46.63343055730286,sao paulo,SP
102,1009,-23.546340513734236,-46.63623850320264,sao paulo,SP
103,1043,-23.54501365751052,-46.641993024150246,sao paulo,SP
104,1050,-23.549107326677785,-46.644104604074144,são paulo,SP
105,1014,-23.546940580846677,-46.633311921420805,sao paulo,SP
106,1047,-23.54627311241268,-46.64122516971552,sao paulo,SP
107,1032,-23.53701970912921,-46.63435857175824,sao paulo,SP
108,1050,-23.550449207051752,-46.64324288827981,sao paulo,SP
109,1017,-23.548851827918533,-46.63120714847948,sao paulo,SP
110,1015,-23.544826346129778,-46.63086956396899,sao paulo,SP
111,1032,-23.53701970912921,-46.63435857175824,sao paulo,SP
112,1039,-23.5406861987132,-46.638296449218,sao paulo,SP
113,1008,-23.545341492094146,-46.63558668567147,sao paulo,SP
114,1005,-23.549819091869107,-46.63560588995324,sao paulo,SP
115,1046,-23.546252957116764,-46.64521736309942,sao paulo,SP
116,1026,-23.53984025062037,-46.6302639919499,sao paulo,SP
117,1045,-23.542925000621707,-46.643423947383695,sao paulo,SP
118,1024,-23.54186295323959,-46.63003529431536,sao paulo,SP
119,1031,-23.542520789115148,-46.63533516134283,sao paulo,SP
120,1014,-23.54676158651283,-46.63345484931019,sao paulo,SP
