index,seller_id,seller_zip_code_prefix,seller_city,seller_state
0,3442f8959a84dea7ee197c632cb2df15,13023,campinas,SP
1,d1b65fc7debc3361ea86b5f14c68d2e2,13844,mogi guacu,SP
2,ce3ad9de960102d0677a81f5d0bb7b2d,20031,rio de janeiro,RJ
3,c0f3eea2e14555b6faeea3dd58c1b1c3,4195,sao paulo,SP
4,51a04a8a6bdcb23deccc82b0b80742cf,12914,braganca paulista,SP
5,c240c4061717ac1806ae6ee72be3533b,20920,rio de janeiro,RJ
6,e49c26c3edfa46d227d5121a6b6e4d37,55325,brejao,PE
7,1b938a7ec6ac5061a66a3766e0e75f90,16304,penapolis,SP
8,768a86e36ad6aae3d03ee3c6433d61df,1529,sao paulo,SP
9,ccc4bbb5f32a6ab2b7066a4130f114e3,80310,curitiba,PR
10,8cb7c5ddf41f4d506eba76e9a4702a25,75110,anapolis,GO
11,a7a9b880c49781da66651ccf4ba9ac38,13530,itirapina,SP
12,8bd0f31cf0a614c658f6763bd02dea69,1222,sao paulo,SP
13,05a48cc8859962767935ab9087417fbb,5372,sao paulo,SP
14,7b8e8ec35bad4b0ef7e3963650b0a87b,88705,tubarao,SC
15,1444c08e64d55fb3c25f0f09c07ffcf2,42738,lauro de freitas,BA
16,166e8f1381e09651983c38b1f6f91c11,88780,imbituba,SC
17,e38db885400cd35c71dfd162f2c1dbcf,70740,brasilia,DF
18,d2e753bb80b7d4faa77483ed00edc8ca,45810,porto seguro,BA
19,f9ec7093df3a7b346b7bcf7864069ca3,5138,sao paulo,SP
20,4e6015589b781adaa5ce7f1892d06bb1,11440,guaruja,SP
21,4cf490a58259286ada5ba8525ba9e84a,14910,tabatinga,SP
22,f7496d659ca9fdaf323c0aae84176632,4156,sao paulo,SP
23,2ff97219cb8622eaf3cd89b7d9c09824,13320,salto,SP
24,8bd0e3abda539b9479c4b44a691be1ec,98910,tres de maio,RS
25,2a1348e9addc1af5aaa619b1a3679d6b,30494,belo horizonte,MG
26,2078fe5066350e7d220c0ad3a3bbc6c1,86707,arapongas,PR
