Model,Method,Easy_Dev,Easy_Test,Mid_Dev,Mid_Test,Hard_Dev,Hard_Test
Qwen-Max,MCS,0.845,0.877,0.673,0.724,0.467,0.640
Qwen-Max,DAIL,0.483,0.561,0.692,0.705,0.746,0.708
Qwen-Max,OpenSearch,0.879,0.854,0.750,0.780,0.617,0.704
Qwen-Max,Avg.,0.736,0.764,0.705,0.736,0.610,0.684
DeepSeek-r1,MCS,0.688,0.689,0.712,0.723,0.450,0.544
DeepSeek-r1,DAIL,0.750,0.750,0.462,0.695,0.623,0.667
DeepSeek-r1,OpenSearch,0.724,0.634,0.827,0.642,0.750,0.741
DeepSeek-r1,Avg.,0.721,0.691,0.667,0.687,0.608,0.651
GPT-5.4,MCS,0.828,0.829,0.732,0.833,0.456,0.550
GPT-5.4,DAIL,0.776,0.817,0.706,0.701,0.650,0.763
GPT-5.4,OpenSearch,0.879,0.780,0.750,0.793,0.817,0.774
GPT-5.4,Avg.,0.828,0.809,0.729,0.776,0.641,0.696
Claude-OPU-4.6,MCS,0.793,0.768,0.785,0.695,0.797,0.752
Claude-OPU-4.6,DAIL,0.862,0.817,0.788,0.754,0.667,0.723
Claude-OPU-4.6,OpenSearch,0.810,0.695,0.785,0.765,0.683,0.706
Claude-OPU-4.6,Avg.,0.822,0.760,0.786,0.738,0.716,0.727
