Model,Method,Easy_Dev,Easy_Test,Mid_Dev,Mid_Test,Hard_Dev,Hard_Test
Qwen-Max,MCS,0.414,0.457,0.519,0.483,0.317,0.369
Qwen-Max,DAIL,0.400,0.478,0.462,0.423,0.322,0.292
Qwen-Max,OpenSearch,0.500,0.463,0.500,0.488,0.417,0.444
Qwen-Max,Avg.,0.438,0.466,0.494,0.465,0.352,0.368
DeepSeek-r1,MCS,0.493,0.485,0.462,0.461,0.283,0.333
DeepSeek-r1,DAIL,0.400,0.417,0.462,0.513,0.382,0.352
DeepSeek-r1,OpenSearch,0.448,0.478,0.481,0.438,0.500,0.444
DeepSeek-r1,Avg.,0.447,0.460,0.468,0.471,0.388,0.376
GPT-5.4,MCS,0.345,0.378,0.442,0.461,0.404,0.396
GPT-5.4,DAIL,0.483,0.561,0.583,0.610,0.500,0.526
GPT-5.4,OpenSearch,0.586,0.524,0.539,0.549,0.533,0.511
GPT-5.4,Avg.,0.471,0.488,0.521,0.540,0.479,0.478
Claude-OPU-4.6,MCS,0.397,0.439,0.500,0.506,0.407,0.398
Claude-OPU-4.6,DAIL,0.655,0.573,0.558,0.573,0.417,0.491
Claude-OPU-4.6,OpenSearch,0.638,0.537,0.654,0.551,0.433,0.482
Claude-OPU-4.6,Avg.,0.563,0.516,0.571,0.543,0.419,0.457
