tank_con_val,chk_time,MTRL_ID,MES_TK_ID
50100,2018/1/1 6:00,558,204
5100,2018/1/1 6:00,376,297
5100,2018/1/1 6:00,376,297
5100,2018/1/1 6:00,353,300
5100,2018/1/1 6:00,353,300
5100,2018/1/1 6:00,344,306
5100,2018/1/1 6:00,343,303
5100,2018/1/1 6:00,343,303
5100,2018/1/1 6:00,343,304
5100,2018/1/1 6:00,343,304
5100,2018/1/1 6:00,357,239
5100,2018/1/1 6:00,357,239
5100,2018/1/1 6:00,356,236
5100,2018/1/1 6:00,368,228
5100,2018/1/1 6:00,368,228
5100,2018/1/1 6:00,344,306
5100,2018/1/1 6:00,356,236
837,2018/1/2 6:00,529,383
1100,2018/1/1 6:00,481,411
-315.255,2022/5/12 18:00,558,204
103.001,2018/1/1 18:00,446,543
6100,2018/1/3 18:00,368,228
5900,2018/1/3 18:00,343,304
5600,2018/1/3 18:00,343,303
6700,2018/1/3 18:00,353,300
6600,2018/1/3 18:00,376,297
8600,2018/1/3 18:00,344,306
5600,2018/1/3 18:00,356,236
1600,2018/1/3 18:00,481,411
700,2018/1/3 18:00,529,383
600,2018/1/3 18:00,529,382
100,2018/1/3 18:00,419,542
100,2018/1/3 18:00,446,543
900,2017/12/13 18:00,503,482
600,2022/5/25 18:00,503,482
660,2022/5/26 18:00,503,482
200,2017/12/4 18:00,503,482
160,2017/12/20 6:00,503,482
102,2021/5/7 18:00,391,528
150,2022/5/19 18:00,503,482
160,2017/12/10 18:00,505,490
102,2021/5/7 18:00,391,529
150,2022/5/26 18:00,511,508
220,2022/5/26 18:00,511,520
200,2017/12/4 18:00,503,483
200,2017/12/4 18:00,503,484
200,2017/12/4 18:00,503,485
200,2017/12/4 18:00,503,486
200,2017/12/4 18:00,503,487
200,2017/12/4 18:00,503,488
200,2017/12/4 18:00,503,489
160,2021/4/4 18:00,391,528
100,2017/5/25 18:00,391,528
122,2019/5/1 18:00,391,528
200,2019/12/10 18:00,391,529
100,2022/5/26 18:00,505,490
880,2019/12/11 18:00,391,529
200,2022/5/26 18:00,511,511
1100,2019/12/11 18:00,391,528
100,2017/12/21 18:00,391,528
160,2021/4/4 18:00,391,529
110,2022/5/26 18:00,391,528
150,2021/12/31 18:00,391,528
180,2021/12/31 18:00,391,529
160,2021/12/30 18:00,391,528
150,2021/12/30 18:00,391,529
150,2021/12/31 6:00,391,528
140,2021/12/31 6:00,391,529
600,2015/5/5 6:00,388,345
600,2015/5/5 6:00,388,346
600,2015/5/5 6:00,388,345
600,2015/5/5 6:00,388,346
510,2015/5/5 18:00,388,345
680,2015/5/5 18:00,388,346
405,2015/5/6 6:00,388,345
770,2015/5/6 6:00,388,346
