begin_shift_time,NODE_ID,inout_name,amount,page_type
2023/4/1 6:00,334,in,165.759,ZU
2023/4/1 6:00,370,out,38.209,ZU
2023/4/1 6:00,425,out,27.819,ZU
2023/4/1 6:00,433,out,54.629,ZU
2023/4/1 6:00,445,out,0,ZU
2023/4/1 6:00,461,out,54.679,ZU
2023/4/1 6:00,470,out,42.209,ZU
2023/4/1 6:00,511,out,51.159,ZU
2023/4/1 6:00,335,in,594.389,ZU
2023/4/1 6:00,423,out,540.889,ZU
2023/4/1 6:00,460,out,245.539,ZU
2023/4/1 6:00,280,in,247.019,ZU
2023/4/1 6:00,349,out,30.969,ZU
2023/4/1 6:00,363,out,32.009,ZU
2023/4/1 6:00,372,out,85.109,ZU
2023/4/1 6:00,472,out,0,ZU
2023/4/1 6:00,512,out,159.689,ZU
2023/4/1 6:00,712,in,523.879,ZU
2023/4/1 6:00,129,in,0,ZU
2023/4/1 6:00,292,consume,50.339,ZU
2023/4/1 6:00,305,consume,25.919,ZU
2023/4/1 6:00,319,consume,100.079,ZU
2023/4/1 6:00,333,consume,98.139,ZU
2023/4/1 6:00,342,out,297.609,ZU
2023/4/1 6:00,360,out,369.639,ZU
2023/4/1 6:00,369,consume,30.159,ZU
2023/4/1 6:00,393,consume,47.089,ZU
2023/4/1 6:00,396,out,37.599,ZU
2023/4/1 6:00,409,out,31.649,ZU
2023/4/1 6:00,418,consume,46.969,ZU
2023/4/1 6:00,429,consume,71.659,ZU
2023/4/1 6:00,441,consume,33.279,ZU
2023/4/1 6:00,450,consume,97.019,ZU
2023/4/1 6:00,491,consume,204.159,ZU
2023/4/1 6:00,499,consume,196.239,ZU
2023/4/1 6:00,508,consume,89.139,ZU
2023/4/1 6:00,519,consume,476.029,ZU
2023/4/1 6:00,541,consume,35.889,ZU
2023/4/1 6:00,550,consume,36.429,ZU
2023/4/1 6:00,559,consume,35.409,ZU
2023/4/1 6:00,573,consume,28.809,ZU
2023/4/1 6:00,638,out,1505.72,ZU
2023/4/1 6:00,681,out,1505.03,ZU
2023/4/1 6:00,682,out,301.587,ZU
2023/4/1 6:00,626,consume,-134.545,ZU
2023/4/1 6:00,453,out,512.659,ZU
2023/4/1 6:00,474,in,1340.84,ZU
2023/4/1 6:00,493,out,112.359,ZU
2023/4/1 6:00,500,out,130.639,ZU
2023/4/1 6:00,509,out,676.099,ZU
2023/4/1 6:00,361,out,30.939,ZU
2023/4/1 6:00,544,out,0,ZU
2023/4/1 6:00,561,out,81.789,ZU
2023/4/1 6:00,579,out,36.129,ZU
2023/4/1 6:00,584,out,204.689,ZU
2023/4/1 6:00,587,out,416.329,ZU
2023/4/1 6:00,591,out,140.839,ZU
2023/4/1 6:00,707,out,40.409,ZU
2023/4/1 6:00,708,out,52.939,ZU
2023/4/1 6:00,709,out,13.149,ZU
2023/4/1 6:00,710,out,0,ZU
2023/4/1 6:00,714,in,81.979,ZU
2023/4/1 6:00,715,in,185.199,ZU
2023/4/1 6:00,716,out,48.789,ZU
2023/4/1 6:00,717,out,90.679,ZU
2023/4/1 6:00,719,in,239.989,ZU
2023/4/1 6:00,720,in,197.429,ZU
2023/4/1 6:00,721,in,0,ZU
2023/4/1 6:00,722,out,141.879,ZU
2023/4/1 6:00,723,out,75.879,ZU
2023/4/1 6:00,724,out,76.939,ZU
2023/4/1 6:00,725,out,43.199,ZU
2023/4/1 6:00,684,out,548.167,ZU
2023/4/1 6:00,685,out,1345.91,ZU
2023/4/1 6:00,286,out,744.909,ZU
2023/4/1 6:00,384,out,186.739,ZU
2023/4/1 6:00,416,in,372.159,ZU
2023/4/1 6:00,282,out,149.389,ZU
2023/4/1 6:00,295,out,113.089,ZU
2023/4/1 6:00,336,in,253.539,ZU
2023/4/1 6:00,316,out,984.869,ZU
2023/4/1 6:00,330,out,972.769,ZU
2023/4/1 6:00,385,out,531.359,ZU
2023/4/1 6:00,414,in,3233.5,ZU
2023/4/1 6:00,718,in,0,ZU
2023/4/1 6:00,338,in,86.019,ZU
2023/4/1 6:00,355,in,32.559,ZU
2023/4/1 6:00,421,out,2253.02,ZU
2023/4/1 6:00,455,out,1621.48,ZU
2023/4/1 6:00,489,in,3445.38,ZU
2023/4/1 6:00,497,in,3532.3,ZU
2023/4/1 6:00,510,out,3519.93,ZU
2023/4/1 6:00,339,in,25.939,ZU
2023/4/1 6:00,406,in,25.919,ZU
2023/4/1 6:00,417,in,87.889,ZU
2023/4/1 6:00,428,in,105.499,ZU
2023/4/1 6:00,442,in,31.139,ZU
2023/4/1 6:00,466,in,36.129,ZU
2023/4/1 6:00,484,out,358.529,ZU
2023/4/1 6:00,490,in,36.369,ZU
2023/4/1 6:00,498,in,36.009,ZU
2023/4/1 6:00,518,in,94.999,ZU
2023/4/1 6:00,539,in,0,ZU
2023/4/1 6:00,549,in,0,ZU
2023/4/1 6:00,556,in,26.009,ZU
2023/4/1 6:00,572,in,0,ZU
2023/4/1 6:00,420,out,323.429,ZU
2023/4/1 6:00,475,in,323.429,ZU
2023/4/1 6:00,371,out,38.879,ZU
2023/4/1 6:00,424,out,52.129,ZU
2023/4/1 6:00,432,out,56.939,ZU
2023/4/1 6:00,462,out,70.589,ZU
2023/4/1 6:00,479,in,105.129,ZU
2023/4/1 6:00,337,in,661.999,ZU
2023/4/1 6:00,486,out,627.419,ZU
2023/4/1 6:00,281,out,32.029,ZU
2023/4/1 6:00,294,out,32.519,ZU
2023/4/1 6:00,307,in,35.189,ZU
2023/4/1 6:00,321,in,38.009,ZU
2023/4/1 6:00,483,in,597.519,ZU
2023/4/1 6:00,496,out,328.449,ZU
2023/4/1 6:00,501,out,315.099,ZU
2023/4/1 6:00,351,in,146.559,ZU
2023/4/1 6:00,381,out,153.849,ZU
2023/4/1 6:00,314,out,107.609,ZU
2023/4/1 6:00,328,out,109.659,ZU
2023/4/1 6:00,382,out,922.209,ZU
2023/4/1 6:00,400,in,1129.91,ZU
2023/4/1 6:00,383,out,1891.91,ZU
2023/4/1 6:00,394,in,1904.58,ZU
2023/4/1 6:00,397,out,1899.94,ZU
2023/4/1 6:00,606,out,223.843,ZU
2023/4/1 6:00,621,in,451.768,ZU
2023/4/1 6:00,387,consume,152.879,ZU
2023/4/1 6:00,388,out,152.879,ZU
2023/4/1 6:00,327,out,209.429,ZU
2023/4/1 6:00,353,in,186.459,ZU
2023/4/1 6:00,283,out,1640.76,ZU
2023/4/1 6:00,296,out,1651.55,ZU
2023/4/1 6:00,309,in,49.869,ZU
2023/4/1 6:00,315,out,386.509,ZU
2023/4/1 6:00,323,in,45.189,ZU
2023/4/1 6:00,329,out,369.929,ZU
2023/4/1 6:00,468,in,654.999,ZU
2023/4/1 6:00,469,in,197.539,ZU
2023/4/1 6:00,471,out,819.879,ZU
2023/4/1 6:00,505,in,4223.5,ZU
2023/4/1 6:00,285,out,1086.75,ZU
2023/4/1 6:00,288,out,517.939,ZU
2023/4/1 6:00,298,out,1644.86,ZU
2023/4/1 6:00,299,out,671.519,ZU
2023/4/1 6:00,301,out,521.939,ZU
2023/4/1 6:00,374,out,0,ZU
2023/4/1 6:00,430,in,1155.97,ZU
2023/4/1 6:00,431,in,2785.35,ZU
2023/4/1 6:00,291,out,3547.59,ZU
2023/4/1 6:00,304,out,3509.61,ZU
2023/4/1 6:00,306,in,3506.08,ZU
2023/4/1 6:00,320,in,3332.89,ZU
2023/4/1 6:00,290,out,1383.56,ZU
2023/4/1 6:00,303,out,1135.16,ZU
2023/4/1 6:00,317,out,649.539,ZU
2023/4/1 6:00,331,out,584.559,ZU
2023/4/1 6:00,365,in,1262.86,ZU
2023/4/1 6:00,367,in,298.189,ZU
2023/4/1 6:00,313,out,225.509,ZU
2023/4/1 6:00,352,in,139.509,ZU
2023/4/1 6:00,419,in,2620.86,ZU
2023/4/1 6:00,434,out,963.999,ZU
2023/4/1 6:00,435,out,553.009,ZU
2023/4/1 6:00,436,out,997.319,ZU
2023/4/1 6:00,346,out,357.469,ZU
2023/4/1 6:00,408,in,113.459,ZU
2023/4/1 6:00,373,out,3899.88,ZU
2023/4/1 6:00,377,in,2966.1,ZU
2023/4/1 6:00,458,out,27.409,ZU
2023/4/1 6:00,380,in,0,ZU
2023/4/1 6:00,401,out,30.849,ZU
2023/4/1 6:00,528,in,808.869,ZU
2023/4/1 6:00,532,out,805.839,ZU
2023/4/1 6:00,482,in,251.899,ZU
2023/4/1 6:00,525,out,290.969,ZU
2023/4/1 6:00,287,out,29.559,ZU
2023/4/1 6:00,300,out,40.759,ZU
2023/4/1 6:00,308,in,48.679,ZU
2023/4/1 6:00,322,in,0,ZU
2023/4/1 6:00,379,in,28.299,ZU
2023/4/1 6:00,395,out,28.299,ZU
2023/4/1 6:00,289,out,1406.36,ZU
2023/4/1 6:00,302,out,2673.14,ZU
2023/4/1 6:00,451,in,1124.34,ZU
2023/4/1 6:00,452,in,2761.8,ZU
2023/4/1 6:00,524,out,268.959,ZU
2023/4/1 6:00,629,in,25.9004,ZU
2023/4/1 6:00,494,out,2950.09,ZU
2023/4/1 6:00,503,out,2975.55,ZU
2023/4/1 6:00,514,in,5744.21,ZU
2023/4/1 6:00,343,out,253.729,ZU
2023/4/1 6:00,344,out,196.419,ZU
2023/4/1 6:00,345,out,84.419,ZU
2023/4/1 6:00,348,out,162.829,ZU
2023/4/1 6:00,354,in,99.769,ZU
2023/4/1 6:00,362,out,62.679,ZU
2023/4/1 6:00,403,out,264.089,ZU
2023/4/1 6:00,411,out,146.749,ZU
2023/4/1 6:00,492,out,142.609,ZU
2023/4/1 6:00,502,out,172.899,ZU
2023/4/1 6:00,623,in,3109.64,ZU
2023/4/1 6:00,402,out,626.539,ZU
2023/4/1 6:00,405,in,654.829,ZU
2023/4/1 6:00,527,in,1736.86,ZU
2023/4/1 6:00,531,out,1708.55,ZU
2023/4/1 6:00,690,out,132.447,ZU
2023/4/1 6:00,691,out,84.2571,ZU
2023/4/1 6:00,692,out,60.6915,ZU
2023/4/1 6:00,81,out,30.8106,ZU
2023/4/1 6:00,81,out,42.2023,ZU
2023/4/1 6:00,81,out,80.2247,ZU
2023/4/1 6:00,293,in,12724.9,ZU
2023/4/1 6:00,279,in,10806.4,ZU
2023/4/1 6:00,595,out,563.299,ZU
2023/4/1 6:00,134,out,635.779,ZU
2023/4/1 6:00,543,out,184.809,ZU
2023/4/1 6:00,552,out,196.759,ZU
2023/4/1 6:00,558,out,183.679,ZU
2023/4/1 6:00,575,out,81.679,ZU
2023/4/1 6:00,594,in,563.299,ZU
2023/4/1 6:00,641,out,1371.05,ZU
2023/4/1 6:00,668,in,117.315,ZU
2023/4/1 6:00,118,out,191.805,ZU
2023/4/1 6:00,117,out,135.058,ZU
2023/4/1 6:00,378,in,924.259,ZU
2023/4/1 6:00,284,out,747.489,ZU
2023/4/1 6:00,297,out,989.539,ZU
2023/4/1 6:00,443,in,257.579,ZU
2023/4/1 6:00,444,in,1474.05,ZU
2023/4/1 6:00,422,out,3105.42,ZU
2023/4/1 6:00,437,out,700.449,ZU
2023/4/1 6:00,438,out,789.229,ZU
2023/4/1 6:00,447,out,1640.9,ZU
2023/4/1 6:00,456,out,0,ZU
2023/4/1 6:00,457,out,1548.05,ZU
2023/4/1 6:00,119,out,98.8168,ZU
2023/4/1 6:00,95,out,120.815,ZU
2023/4/1 6:00,520,out,3069.08,ZU
2023/4/1 6:00,366,in,2576.74,ZU
2023/4/1 6:00,108,out,3364.18,ZU
2023/4/1 6:00,120,out,558.627,ZU
2023/4/1 6:00,109,out,5300.33,ZU
2023/4/1 6:00,115,out,2559.94,ZU
2023/4/1 6:00,610,in,771.84,ZU
2023/4/1 6:00,639,out,928.083,ZU
2023/4/1 6:00,664,out,6,ZU
2023/4/1 6:00,632,in,25.8814,ZU
2023/4/1 6:00,644,out,59.7655,ZU
2023/4/1 6:00,88,out,166.648,ZU
2023/4/1 6:00,650,out,221.438,ZU
2023/4/1 6:00,627,in,53.7255,ZU
2023/4/1 6:00,85,out,115.912,ZU
2023/4/1 6:00,82,out,220.527,ZU
2023/4/1 6:00,82,out,93.2704,ZU
2023/4/1 6:00,93,out,542.248,ZU
2023/4/1 6:00,83,out,893.654,ZU
2023/4/1 6:00,89,out,162.304,ZU
2023/4/1 6:00,604,in,97.5772,ZU
2023/4/1 6:00,121,out,71.2028,ZU
2023/4/1 6:00,318,out,1323.01,ZU
2023/4/1 6:00,332,out,1220.32,ZU
2023/4/1 6:00,711,in,4203.88,ZU
2023/4/1 6:00,533,out,0,ZU
2023/4/1 6:00,477,out,578.609,ZU
2023/4/1 6:00,478,out,1085.21,ZU
2023/4/1 6:00,620,in,3286.18,ZU
2023/4/1 6:00,123,in,2353.4,ZU
2023/4/1 6:00,521,out,1008.57,ZU
2023/4/1 6:00,410,out,724.219,ZU
2023/4/1 6:00,523,out,935.309,ZU
2023/4/1 6:00,404,out,281.799,ZU
2023/4/1 6:00,386,out,164.039,ZU
2023/4/1 6:00,102,in,67.0788,ZU
2023/4/1 6:00,686,out,123.879,ZU
2023/4/1 6:00,80,out,123.879,ZU
2023/4/1 6:00,687,out,814.179,ZU
2023/4/1 6:00,127,out,814.179,ZU
2023/4/1 6:00,657,out,0,ZU
2023/4/1 6:00,122,out,0,ZU
2023/4/1 6:00,481,in,90.319,ZU
2023/4/1 6:00,642,out,146.089,ZU
2023/4/1 6:00,654,in,0,ZU
2023/4/1 6:00,542,in,0,ZU
2023/4/1 6:00,551,in,0,ZU
2023/4/1 6:00,560,in,0,ZU
2023/4/1 6:00,567,in,0,ZU
2023/4/1 6:00,574,in,0,ZU
2023/4/1 6:00,701,out,69.64,ZU
2023/4/1 6:00,356,in,28.029,ZU
2023/4/1 6:00,357,in,26.269,ZU
2023/4/1 6:00,368,in,79.459,ZU
2023/4/1 6:00,392,in,30.559,ZU
2023/4/1 6:00,449,in,146.239,ZU
2023/4/1 6:00,506,in,28.809,ZU
2023/4/1 6:00,683,out,13524.9,ZU
2023/4/1 6:00,598,in,26.4822,ZU
2023/4/1 6:00,605,in,0,ZU
2023/4/1 6:00,667,in,0,ZU
2023/4/1 6:00,517,in,44.779,ZU
2023/4/1 6:00,616,out,44.8433,ZU
2023/4/1 6:00,516,in,223.819,ZU
2023/4/1 6:00,651,out,223.894,ZU
2023/4/1 6:00,407,in,138.239,ZU
2023/4/1 6:00,607,out,138.823,ZU
2023/4/1 6:00,615,out,1452.24,ZU
2023/4/1 6:00,612,in,1346.03,ZU
2023/4/1 6:00,618,out,28.2313,ZU
2023/4/1 6:00,614,out,3732.32,ZU
2023/4/1 6:00,611,in,2677.76,ZU
2023/4/1 6:00,600,out,317.707,ZU
2023/4/1 6:00,608,out,127.379,ZU
2023/4/1 6:00,603,in,601.801,ZU
2023/4/1 6:00,645,out,948.648,ZU
2023/4/1 6:00,597,in,961.778,ZU
2023/4/1 6:00,599,out,161.541,ZU
2023/4/1 6:00,649,out,153.004,ZU
2023/4/1 6:00,617,out,650.465,ZU
2023/4/1 6:00,643,out,459.454,ZU
2023/4/1 6:00,358,out,81.589,ZU
2023/4/1 6:00,665,out,1,ZU
2023/4/1 6:00,628,in,119.755,ZU
2023/4/1 6:00,640,out,2414.09,ZU
2023/4/1 6:00,609,in,568.879,ZU
2023/4/1 6:00,652,in,1441.19,ZU
2023/4/1 6:00,658,in,2297.91,ZU
2023/4/1 6:00,689,out,2161.11,ZU
2023/4/1 6:00,679,in,2115.81,ZU
2023/4/1 6:00,655,out,29.9597,ZU
2023/4/1 6:00,633,in,29.9597,ZU
2023/4/1 6:00,656,out,190.441,ZU
2023/4/1 6:00,699,in,190.441,ZU
2023/4/1 6:00,672,out,0,ZU
2023/4/1 6:00,661,in,0,ZU
2023/4/1 6:00,669,out,535.419,ZU
2023/4/1 6:00,697,in,540.927,ZU
2023/4/1 6:00,670,out,0,ZU
2023/4/1 6:00,622,in,29.2955,ZU
2023/4/1 6:00,646,out,36.2572,ZU
2023/4/1 6:00,648,in,36.2572,ZU
2023/4/1 6:00,662,out,788.609,ZU
2023/4/1 6:00,700,in,788.609,ZU
2023/4/1 6:00,602,out,27.4196,ZU
2023/4/1 6:00,631,in,27.4196,ZU
2023/4/1 6:00,601,out,64.663,ZU
2023/4/1 6:00,739,in,62.3382,ZU
2023/4/1 6:00,671,out,25.8903,ZU
2023/4/1 6:00,737,in,25.9082,ZU
2023/4/1 6:00,619,out,58.7315,ZU
2023/4/1 6:00,613,consume,58.7315,ZU
2023/4/1 6:00,347,out,468.589,ZU
2023/4/1 6:00,359,out,56.419,ZU
2023/4/1 6:00,526,out,158.549,ZU
2023/4/1 6:00,624,in,2043.46,ZU
2023/4/1 6:00,653,in,28.6197,ZU
2023/4/1 6:00,659,in,67.1178,ZU
2023/4/1 6:00,647,in,889.789,ZU
2023/4/1 6:00,279,in,10806.4,NODE
2023/4/1 6:00,280,in,247.019,NODE
2023/4/1 6:00,281,out,32.029,NODE
2023/4/1 6:00,282,out,149.389,NODE
2023/4/1 6:00,283,out,1640.76,NODE
2023/4/1 6:00,284,out,747.489,NODE
2023/4/1 6:00,285,out,1086.75,NODE
2023/4/1 6:00,286,out,744.909,NODE
2023/4/1 6:00,287,out,29.559,NODE
2023/4/1 6:00,288,out,517.939,NODE
2023/4/1 6:00,289,out,1406.36,NODE
2023/4/1 6:00,290,out,1383.56,NODE
2023/4/1 6:00,291,out,3547.59,NODE
2023/4/1 6:00,292,consume,50.339,NODE
2023/4/1 6:00,306,in,3506.08,NODE
2023/4/1 6:00,307,in,35.189,NODE
2023/4/1 6:00,308,in,48.679,NODE
2023/4/1 6:00,309,in,49.869,NODE
2023/4/1 6:00,310,in,0,NODE
2023/4/1 6:00,312,out,0,NODE
2023/4/1 6:00,313,out,225.509,NODE
2023/4/1 6:00,314,out,107.609,NODE
2023/4/1 6:00,315,out,386.509,NODE
2023/4/1 6:00,316,out,984.869,NODE
2023/4/1 6:00,317,out,649.539,NODE
2023/4/1 6:00,318,out,1323.01,NODE
2023/4/1 6:00,319,consume,100.079,NODE
2023/4/1 6:00,707,out,40.409,NODE
2023/4/1 6:00,351,in,146.559,NODE
2023/4/1 6:00,352,in,139.509,NODE
2023/4/1 6:00,353,in,186.459,NODE
2023/4/1 6:00,354,in,99.769,NODE
2023/4/1 6:00,355,in,32.559,NODE
2023/4/1 6:00,356,in,28.029,NODE
