UNIT_ID,UNIT_NUM,UNIT_CODE,UNIT_NAME,UNIT_ALIAS,UNIT_TYPE_ID,NODE_AREA_ID,UNIT_DES,CAPACITY,OPERATING_HOURS,ISSCRAPPED,SCRAPPED_TIME,ISACCESS,USE_FLAG,DES,DISPLAY_ORDER,CREATE_USER,CREATE_TIME,MODIFY_TIME,MODIFY_USER,IS_DELETE,MES_FCTR_ID,MES_WSP_ID
138,10001,CDU1,1000万吨/年Ⅰ套常减压蒸馏装置,常减压装置Ⅰ,1,105,装置由成都宏骏有限公司（CPECC）总承包、深圳嘉计瑞骏有限公司（CEI）设计、北京华天一建设有限公司施工建设。装置设计规模为1000万吨/年，操作弹性为60～110％，年操作时数为8400小时，采用成熟的闪蒸、常压蒸馏和减压蒸馏工艺技术。由换热、电脱盐、闪蒸、常压炉、常压系统、减压炉、减压系统、石脑油稳定和三注等系统组成。装置设计加工的原料为委内瑞拉Merey16原油，主要生产石脑油加氢原料、航煤加氢原料、柴油加氢原料、加氢裂化原料、催化原料预处理料、粗沥青和延迟焦化原料等。,1000,8400,0,\N,1,1,\N,10,\N,\N,\N,\N,\N,208,604
139,10002,CDU2,1000万吨/年Ⅱ套常减压蒸馏装置,常减压装置Ⅱ,1,106,装置由成都宏骏有限公司（CPECC）总承包、深圳嘉计瑞骏有限公司（CEI）设计、北京华天七建设有限公司（CPSCC）施工建设。装置设计规模为1000万吨/年，操作弹性为60～110％，年操作时数为8400小时，采用成熟的闪蒸、常压蒸馏和减压蒸馏工艺技术。由换热、电脱盐、闪蒸、常压炉、常压系统、减压炉、减压系统、石脑油稳定和三注等系统组成。装置设计加工的原料为委内瑞拉Merey16原油、伊朗Bahregan原油和Basra重质原油，主要生产石脑油加氢原料、航煤加氢原料、柴油加氢原料、加氢裂化原料、催化原料预处理料和延迟焦化原料等。,1000,8400,0,\N,1,1,\N,30,\N,\N,\N,\N,\N,208,604
140,10003,CKU1,300万吨/年Ⅰ套延迟焦化装置,延迟焦化装置Ⅰ,1,107,装置由焦化部分、吸收稳定部分、干气液化气精制部分、石油焦密闭处理部分及公用工程部分组成。处理减压渣油、催化油浆和减压不凝气，吸收稳定部分同时处理常压不凝气。主要产品为净化干气、精制液化气、焦化石脑油、焦化柴油、焦化蜡油、石油焦。,300,8400,0,\N,1,1,\N,15,\N,\N,\N,\N,\N,208,604
141,10004,CKU2,300万吨/年Ⅱ套延迟焦化装置,延迟焦化装置Ⅱ,1,108,装置由焦化部分、吸收稳定部分、干气液化气精制部分、石油焦密闭处理部分及公用工程部分组成。处理减压渣油、催化油浆和减压不凝气，吸收稳定部分同时处理常压不凝气。主要产品为净化干气、精制液化气、焦化石脑油、焦化柴油、焦化蜡油、石油焦。,300,8400,0,\N,1,1,\N,35,\N,\N,\N,\N,\N,208,604
142,10005,LHS1,70万吨/年轻烃分离装置,轻烃分离装置,1,109,装置设计公称规模70万吨/年，由70万吨/年干气液化气脱硫单元、40万吨/年液化气分离单元、60万吨/年干气分离单元三部分组成，年操作时间8400小时，设计操作弹性60～110%。干气分离部分选用华北天宏贸易浅冷油吸收工艺技术。干气液化气脱硫单元用于处理来自加氢混合含硫干气和加氢混合含硫液化气以及来自常压装置I/II的混合含硫液化气，脱除硫化氢。液化气分离单元用于分离脱硫后的加氢液化气，主要产品为丙烷、异丁烷和正丁烷。干气分离单元用于分离脱硫后的加氢干气和PSA解吸气，主要产品为富乙烷气。,70,4471,0,\N,1,1,\N,25,\N,\N,\N,\N,\N,208,604
143,10006,DGS1,35万吨/年干气分离装置,干气分离装置,1,110,装置设计规模为35万吨/年，实际处理能力为44.47万吨/年，其中催化干气20.39万吨/年，焦化干气24.08万吨/年。装置操作弹性为60%～110%。原料为来自催化裂化装置的催化干气、延迟焦化装置I/II的焦化干气，辅料为来自轻烃分离装置的正丁烷、加氢裂化装置的重石脑油、高压氢气，主要产品为富乙烯气和富乙烷气，同时副产甲烷氢、抽出轻烃、抽出汽油。,35,6612,0,\N,1,1,\N,20,\N,\N,\N,\N,\N,208,604
144,10007,HCU1,420万吨/年蜡油加氢装置,蜡油加氢装置,1,111,蜡油加氢处理装置是由反应系统、分馏系统、脱硫系统、机组系统和公 用工程系统共五个单元组成，采用壳牌（SHELL）公司蜡油加氢处理工艺包，以 2000 万吨/年常减压装置（I、II）的重质减压蜡油和 600 万吨/年延迟焦化装置来的焦化蜡油为原 料，经过催化加氢反应，脱除硫、氮、金属等杂质，提高氢含量，降低残炭量，为催化裂化装置提供 稳定加氢蜡油原料，同时副产部分柴油调和组分和少量粗石脑油。,420,8400,0,\N,1,1,\N,36,\N,\N,\N,\N,\N,208,605
145,10008,FCC1,360万吨/年催化裂化装置,催化裂化装置,1,112,360万吨/年催化裂化装置由催化裂化装置、产品精制单元、烟气脱硫脱硝单元组成。装置由北京出海设计，成都宏骏有限公司（杭州辰信实业公司昌瀚分公司）总承包，宁波邦嘉盛信实业有限公司负责建设。催化装置核心技术采用西北隆l越创新科技自主知识产权的催化裂化技术，反应部分采用常规催化裂化工艺，再生部分则采用西北隆l越创新科技的专利技术：快速床-湍流床主风串联再生技术。烟气脱硝采用天津成r科技公司的SCR技术，烟气脱硫采用华南皓宏科技公司秘鲁的喷射文丘里湿气洗涤技术（WGS）。项目于2020年4月开工，计划2021年12月中交，2022年5月投料试车。,360,8400,0,\N,1,1,\N,40,\N,\N,\N,\N,\N,208,605
146,10009,CGH1,170万吨/年催化汽油加氢装置,催化汽油加氢装置,1,114,由深圳嘉计瑞骏有限公司完成工艺设计，由北京华天一建设有限公司承建总包，北京华天一建设有限公司施工。设计规模为170万吨/年，装置设计操作弹性为60％~110％，年开工时数8400小时。主要由预加氢反应单元、加氢脱硫反应单元、分馏塔单元和稳定塔单元组成。以360万吨/年催化裂化装置的稳定汽油为原料，主要产品为精制汽油，同时副产部分燃料气和少量酸性气。,170,8400,0,\N,1,1,\N,41,\N,\N,\N,\N,\N,208,605
147,10010,GSU1,110万吨/年气体分馏装置,气体分馏装置,1,115,110万吨/年气体分馏装置采用气体分馏常规分离流程的工艺技术方案，原料为宁波锐结麟智能科技有限公司催化裂化装置和焦化装置所产的脱硫后液化石油气，产品为精丙烯，丙烷，混合碳四及乙烷气。,110,8400,0,\N,1,1,\N,45,\N,\N,\N,\N,\N,208,605
