UNIT_ID,UNIT_ALIAS,CAPACITY,OPERATING_HOURS
"138","常减压装置Ⅰ","1000","8400"
"139","常减压装置Ⅱ","1000","8400"
"140","延迟焦化装置Ⅰ","300","8400"
"141","延迟焦化装置Ⅱ","300","8400"
"142","轻烃分离装置","70","4471"
"143","干气分离装置","35","6612"
"144","蜡油加氢装置","420","8400"
"145","催化裂化装置","360","8400"
"146","催化汽油加氢装置","170","8400"
"147","气体分馏装置","110","8400"
"148","烷基化装置","60","8400"
"149","柴油加氢装置Ⅰ","330","8400"
"150","柴油加氢装置Ⅱ","330","8400"
"151","航煤加氢装置","120","8400"
"152","加氢裂化装置","370","8400"
"153","焦化石脑油加氢装置","80","8400"
"154","正异构分离装置","95","8400"
"155","氢气回收装置","32","8400"
"156","连续重整装置Ⅰ","300","8400"
"157","连续重整装置Ⅱ","300","8400"
"158","石脑油加氢装置","300","8400"
"159","芳烃联合装置","260","8400"
"160","硫磺回收装置Ⅰ","18","8400"
"161","硫磺回收装置Ⅱ","18","8400"
"162","硫磺回收装置Ⅲ","18","8400"
"163","硫磺回收装置Ⅳ","18","8400"
"164","硫磺回收装置Ⅴ","6","8400"
"165","非加氢酸性水汽提装置","350","8400"
"166","加氢酸性水汽提装置","350","8400"
"167","非加氢溶剂再生装置","1500","8400"
"168","加氢溶剂再生装置","1000","8400"
"169","硫磺成型与包装装置","88","5840"
"170","丁二烯装置","11","8000"
"171","MTBE/丁烯-1装置","8","8000"
"172","苯乙烯装置","80","8000"
"173","乙烯装置","120","7560"
"174","裂解汽油加氢装置","45","8000"
"175","HDPE装置","40","8000"
"176","FDPE装置","80","8000"
"177","PP装置Ⅰ","50","8000"
"178","PP装置Ⅱ","20","8000"
"179","石油焦制氢装置","224","8400"
"180","空分装置","33","8400"
"183","HDPE包装装置","40","8000"
"184","FDPE包装装置","80","8000"
"185","PP包装装置Ⅰ","50","8000"
"186","PP包装装置Ⅱ","20","8000"
"188","污水专业装置","50","5000"
"189","动力中心锅炉装置","50","5000"
"190","动力中心汽机装置","50","5000"
"191","给水专业装置","50","5000"
"193","炼油区原料岗位","1","1"
"194","炼油区成品岗位","1","1"
"195","化工区岗位","1","1"
"196","液体产品汽车装卸岗位","1","1"
"197","520万方商储库","1","1"
"198","污水处理场2#电脱盐预处理系统","1","1"
"199","污水处理场含油含盐污水处理","1","1"
"200","350吨/小时酸性水汽提装置（加氢型）_单元Ⅱ","1","1"
"201","350吨/小时酸性水汽提装置（加氢型）_单元Ⅰ","1","1"
"202","350吨/小时酸性水汽提装置（非加氢型）_焦化酸性水单元","1","1"
"203","350吨/小时酸性水汽提装置（非加氢型）_非加氢酸性水单元","1","1"
"204","40万吨/年全密度聚乙烯装置-Ⅰ线","1","1"
"205","40万吨/年全密度聚乙烯装置-Ⅱ线","1","1"
"206","70万吨/年轻烃分离装置 (液化气分离)单元","1","1"
"207","70万吨/年轻烃分离装置 (干气分离) 单元","1","1"
"208","70万吨/年轻烃分离装置（脱硫）单元","1","1"
"209","35万吨/年干气分离装置-催化干气单元","1","1"
"210","35万吨/年干气分离装置-焦化干气单元","1","1"
"211","动力中心1#锅炉","1","1"
"212","动力中心2#锅炉","1","1"
"213","动力中心3#锅炉","1","1"
"214","动力中心4#锅炉","1","1"
"215","动力中心1#汽轮机","1","1"
"216","汽油调和装置","1","8400"
"217","产品码头","1","1"
"218","原油码头","1","1"
"219","溶剂再生装置（加氢型）_单元Ⅰ","1","1"
"220","化工第一循环水场","1","1"
"221","化工第二循环水场","1","1"
"222","化工第三循环水场","1","1"
"223","炼油第一循环水场","1","1"
"224","炼油第二循环水场","1","1"
"225","炼油第三循环水场","1","1"
"226","污水处理场高含盐污水处理系统","1","1"
"227","污水处理场WAR装置","1","1"
"228","除盐水站高压除盐水给水单元","1","1"
"229","固废焚烧系统","1","1"
"230","污水处理场高浓度VOC系统","1","1"
"231","污水处理场1#电脱盐预处理系统","1","1"
"232","空分装置Ⅰ单元","1","1"
"233","空分装置Ⅱ单元","1","1"
"234","空分装置Ⅲ单元","1","1"
"235","炼油二循（三四联合系统）","1","1"
"236","净水厂高压生产给水单元","1","1"
"237","余热回收站中压锅炉给水单元","1","1"
"238","1500吨/小时溶剂再生装置（非加氢型）_非加氢富液单元","1","1"
"239","净水厂低压生产给水单元","1","1"
"240","余热回收站低压锅炉给水单元","1","1"
"241","动力中心2#汽轮机","1","1"
"242","除盐水站低压除盐水给水单元","1","1"
"243","1000吨/小时溶剂再生装置（加氢型）_单元Ⅱ","1","1"
"244","1500吨/小时溶剂再生装置（非加氢型）_焦化富液单元","1","1"
"245","空压站","1","1"
"246","余热回收站高压锅炉给水单元","1","1"
"247","重大危险源","1","1"
