NODE_ID,NODE_ALIAS,UNIT_ID
"279","常减压Ⅰ原油进料线","138"
"280","常减压Ⅰ混合石脑油进料线","138"
"281","常减压Ⅰ常压不凝气出料线","138"
"282","常减压Ⅰ液化气出料线","138"
"283","常减压Ⅰ石脑油出料线","138"
"284","常减压Ⅰ常一线直馏航煤出料线","138"
"285","常减压Ⅰ常二线常减压轻柴油出料线","138"
"286","常减压Ⅰ常三线常减压重柴油出料线","138"
"287","常减压Ⅰ减压不凝气出料线","138"
"288","常减压Ⅰ减一线减压轻蜡油馏分出料线","138"
"289","常减压Ⅰ减二线减压中蜡油馏分出料线","138"
"290","常减压Ⅰ减三线减压重蜡油馏分出料线","138"
"291","常减压Ⅰ减压渣油出料线","138"
"292","常减压Ⅰ燃料气消耗线","138"
"293","常减压Ⅱ原油进料线","139"
"294","常减压Ⅱ常压不凝气出料线","139"
"295","常减压Ⅱ液化气出料线","139"
"296","常减压Ⅱ石脑油出料线","139"
"297","常减压Ⅱ常一线直馏航煤出料线","139"
"298","常减压Ⅱ常二线轻柴油馏分出料线","139"
"299","常减压Ⅱ常三线重柴油馏分出料线","139"
"300","常减压Ⅱ减压不凝气出料线","139"
"301","常减压Ⅱ减一线减压轻蜡油馏分出料线","139"
"302","常减压Ⅱ减二线减压中蜡油馏分出料线","139"
"303","常减压Ⅱ减三线减压重蜡油馏分出料线","139"
"304","常减压Ⅱ减压渣油出料线","139"
"305","常减压Ⅱ燃料气消耗线","139"
"306","延迟焦化Ⅰ渣油进料线","140"
"307","延迟焦化Ⅰ常压不凝气进料线","140"
"308","延迟焦化Ⅰ减压不凝气进料线","140"
"309","延迟焦化Ⅰ加氢石脑油进料线","140"
"310","延迟焦化Ⅰ贫胺液进料线","140"
"311","延迟焦化Ⅰ酸性水出料线","140"
"312","延迟焦化Ⅰ富胺液出料线","140"
"313","延迟焦化Ⅰ干气出料线","140"
"314","延迟焦化Ⅰ液化气出料线","140"
"315","延迟焦化Ⅰ汽油出料线","140"
"316","延迟焦化Ⅰ柴油出料线","140"
"317","延迟焦化Ⅰ蜡油出料线","140"
"318","延迟焦化Ⅰ石油焦出料线","140"
"319","延迟焦化Ⅰ燃料气消耗线","140"
"320","延迟焦化Ⅱ渣油进料线","141"
"321","延迟焦化Ⅱ常压不凝气进料线","141"
"322","延迟焦化Ⅱ减压不凝气进料线","141"
"323","延迟焦化Ⅱ焦化石脑油进料线","141"
"324","延迟焦化Ⅱ焦化贫胺液进料线","141"
"325","延迟焦化Ⅱ酸性水出料线","141"
"326","延迟焦化Ⅱ焦化富胺液出料线","141"
"327","延迟焦化Ⅱ干气出料线","141"
"328","延迟焦化Ⅱ液化气出料线","141"
"329","延迟焦化Ⅱ汽油出料线","141"
"330","延迟焦化Ⅱ柴油出料线","141"
"331","延迟焦化Ⅱ蜡油出料线","141"
"332","延迟焦化Ⅱ石油焦出料线","141"
"333","延迟焦化Ⅱ燃料气消耗线","141"
"334","轻烃分离干气进料线","142"
"335","轻烃分离加氢液化气进料线","142"
"336","轻烃分离常减压液化气进料线","142"
"337","轻烃分离解吸气进料线","142"
"338","轻烃分离重石脑油进料线","142"
"339","轻烃分离氢气进料线","142"
"340","轻烃分离贫胺液进料线","142"
"341","轻烃分离凝缩油出料线","142"
"342","轻烃分离燃料气出料线","142"
"343","轻烃分离常减压液化气出料线","142"
"344","轻烃分离正丁烷出料线","142"
"345","轻烃分离丙烷出料线","142"
"346","轻烃分离异丁烷出料线","142"
"347","轻烃分离富乙烷气出料线","142"
"348","轻烃分离抽出轻烃出料线","142"
"349","轻烃分离抽出汽油出料线","142"
"350","轻烃分离富胺液出料线","142"
"351","干气分离催化干气进料线","143"
"352","干气分离焦化I干气进料线","143"
"353","干气分离焦化II干气进料线","143"
"354","干气分离正丁烷进料线","143"
"355","干气分离重石脑油进料线","143"
"356","干气分离催化干气单元氢气进料线","143"
"357","干气分离焦化干气单元氢气进料线","143"
"358","干气分离富乙烯气出料线","143"
"359","干气分离富乙烷气出料线","143"
"360","干气分离燃料气出料线","143"
"361","干气分离酸性气出料线","143"
"362","干气分离抽出轻烃出料线","143"
"363","干气分离抽出汽油出料线","143"
"364","干气分离凝缩油出料线","143"
"365","蜡油加氢常减压供减压蜡油进料线","144"
"366","蜡油加氢罐区供重蜡油进料线","144"
"367","蜡油加氢焦化蜡油进料线","144"
"368","蜡油加氢氢气进料线","144"
"369","蜡油加氢燃料气消耗线","144"
"370","蜡油加氢酸性气出料线","144"
"371","蜡油加氢低分气出料线","144"
"372","蜡油加氢粗石脑油出料线","144"
"373","蜡油加氢加氢蜡油出料线","144"
"374","蜡油加氢加氢柴油出料线","144"
"375","蜡油加氢轻污油出料线","144"
"376","蜡油加氢重污油出料线","144"
"377","催化裂化加氢蜡油热进料线","145"
"378","催化裂化加氢蜡油冷进料线","145"
"379","催化裂化酸性气进料线","145"
"380","催化裂化乙烷进料线","145"
"381","催化裂化净化干气出料线","145"
"382","催化裂化净化液化气出料线","145"
"383","催化裂化催化汽油出料线","145"
"384","催化裂化轻柴油出料线","145"
"385","催化裂化重柴油出料线","145"
"386","催化裂化催化油浆出料线","145"
"387","催化裂化焦炭消耗线","145"
"388","催化裂化焦炭出料线","145"
"389","催化裂化非加氢贫胺液进料线","145"
"390","催化裂化非加氢富胺液出料线","145"
"391","催化裂化非加氢酸性水出料线","145"
"392","催化汽油加氢氢气进料线","146"
"393","催化汽油加氢燃料气消耗线","146"
"394","催化汽油加氢催化汽油进料线","146"
"395","催化汽油加氢稳定塔顶气出料线","146"
"396","催化汽油加氢分馏塔顶气出料线","146"
"397","催化汽油加氢脱硫汽油出料线","146"
"398","催化汽油加氢污油出料线","146"
"399","气体分馏罐区来液化气进料线","147"
"400","气体分馏液化气进料线","147"
"401","气体分馏乙烷出料线","147"
"402","气体分馏混合碳四出料线","147"
"403","气体分馏丙烷出料线","147"
"404","气体分馏丙烯出料线","147"
"405","烷基化气分碳四进料线","148"
"406","烷基化氢气进料线","148"
"407","烷基化化工碳四进料线","148"
"408","烷基化补充异丁烷进料线","148"
"409","烷基化燃料气出料线","148"
"410","烷基化烷基化油出料线","148"
"411","烷基化正丁烷出料线","148"
"412","烷基化抽出丙烷出料线","148"
"413","烷基化异丁烷出料线","148"
"414","柴油加氢Ⅰ混合柴油进料线","149"
"415","柴油加氢Ⅰ焦化柴油进料线","149"
"416","柴油加氢Ⅰ热原料混合柴油进料线","149"
"417","柴油加氢Ⅰ氢气进料线","149"
"418","柴油加氢Ⅰ燃料气消耗线","149"
"419","柴油加氢Ⅰ石脑油进料线","149"
"420","柴油加氢Ⅰ轻石脑油出料线","149"
"421","柴油加氢Ⅰ重石脑油出料线","149"
"422","柴油加氢Ⅰ精制柴油出料线","149"
"423","柴油加氢Ⅰ液化气出料线","149"
"424","柴油加氢Ⅰ低分气出料线","149"
"425","柴油加氢Ⅰ酸性气出料线","149"
"426","柴油加氢Ⅰ凝缩油出料线","149"
"427","柴油加氢Ⅰ轻污油出料线","149"
"428","柴油加氢Ⅱ氢气进料线","150"
"429","柴油加氢Ⅱ燃料气消耗线","150"
"430","柴油加氢Ⅱ罐区来混合柴油进料线","150"
"431","柴油加氢Ⅱ混合柴油进料线","150"
"432","柴油加氢Ⅱ低分气出料线","150"
"433","柴油加氢Ⅱ含硫干气出料线","150"
"434","柴油加氢Ⅱ汽提塔顶液出料线","150"
"435","柴油加氢Ⅱ分馏塔顶液出料线","150"
"436","柴油加氢Ⅱ重石脑油出料线","150"
"437","柴油加氢Ⅱ航空煤油出料线","150"
"438","柴油加氢Ⅱ柴油加氢柴油出料线","150"
"439","柴油加氢Ⅱ凝缩油出料线","150"
"440","柴油加氢Ⅱ轻污油出料线","150"
"441","航煤加氢燃料气消耗线","151"
"442","航煤加氢氢气进料线","151"
"443","航煤加氢热直馏航煤进料线","151"
"444","航煤加氢冷直馏航煤进料线","151"
"445","航煤加氢酸性气出料线","151"
"446","航煤加氢石脑油出料线","151"
"447","航煤加氢精制航煤出料线","151"
"448","航煤加氢轻污油出料线","151"
"449","加裂氢气进料线","152"
