MES_TK_ID,MES_TK_ALIAS
"204","TK1101"
"205","TK1102"
"206","TK1103"
"207","TK1104"
"208","TK1201"
"209","TK1202"
"210","TK1203"
"211","TK1204"
"212","TK1301"
"213","TK1302"
"214","TK1303"
"215","TK1304"
"216","TK1401"
"217","TK1402"
"218","TK1403"
"219","TK1404"
"220","TK1501"
"221","TK1502"
"222","TK1503"
"223","TK1504"
"224","TK2101"
"225","TK2102"
"226","TK2103"
"227","TK2104"
"228","TK2105"
"229","TK2106"
"230","TK2107"
"231","TK2108"
"232","TK2109"
"233","TK2110"
"234","TK2111"
"235","TK2112"
"236","TK2201"
"237","TK2202"
"238","TK2203"
"239","TK2204"
"240","TK2205"
"241","TK2206"
"242","TK2207"
"243","TK2208"
"244","TK6101"
"245","TK6102"
"246","TK6103"
"247","TK6104"
"248","TK6105"
"249","TK6106"
"250","TK6107"
"251","TK6108"
"252","TK6201"
"253","TK6202"
"254","TK6203"
"255","TK6204"
"256","TK6205"
"257","TK6206"
"258","TK6207"
"259","TK6208"
"260","TK6209"
"261","TK6210"
"262","TK6301"
"263","TK6302"
"264","TK6303"
"265","TK6304"
"266","TK6305"
"267","TK6306"
"268","TK6401"
"269","TK6402"
"270","TK6403"
"271","TK6404"
"272","TK6405"
"273","TK6406"
"274","TK6407"
"275","TK6408"
"276","TK8101"
"277","TK8102"
"278","TK8103"
"279","TK8104"
"280","TK8105"
"281","TK8106"
"282","TK8201"
"283","TK8202"
"284","TK8203"
"285","TK8204"
"286","TK8205"
"287","TK8206"
"288","TK3101"
"289","TK3102"
"290","TK3103"
"291","TK3104"
"292","TK3105"
"293","TK3106"
"294","TK3107"
"295","TK3108"
"296","TK3109"
"297","TK3110"
"298","TK3111"
"299","TK3112"
"300","TK3202"
"301","TK3203"
"302","TK3204"
"303","TK3205"
"304","TK3206"
"305","TK3207"
"306","TK3208"
"307","TK3209"
"308","TK3210"
"309","TK3301"
"310","TK3302"
"311","TK3303"
"312","TK3304"
"313","TK3305"
"314","TK3306"
"315","TK3307"
"316","TK3308"
"317","5221TK4101"
"318","5221TK4102"
"319","TK4103"
"320","TK4104"
"321","TK4105"
"322","TK4106"
"323","TK4201"
"324","TK4202"
"325","TK4203"
"326","TK4204"
"327","TK4205"
"328","TK4206"
"329","5251TK2302"
"330","5251TK2303"
"331","5251TK2304"
"332","TK2305"
"333","TK2306"
"334","TK5101"
"335","TK5102"
"336","TK5103"
"337","TK5104"
"338","TK5105"
"339","TK5106"
"340","TK5107"
"341","TK5108"
"342","TK5109"
"343","TK5110"
"344","TK5201"
"345","TK5202"
"346","TK5203"
"347","TK5204"
"348","TK5205"
"349","TK5206"
"350","TK5207"
"351","TK5208"
"352","TK5301"
"353","TK5302"
"354","TK5303"
"355","TK5304"
"356","TK5305"
"357","TK5306"
"358","V7101"
"359","V7102"
"360","V7103"
"361","V7104"
"362","V7105"
"363","V7106"
"364","V7107"
"365","V7108"
"366","V7109"
"367","V7110"
"368","V7111"
"369","V7112"
"370","V7201"
"371","V7202"
"372","V7203"
"373","V7204"
"374","V7205"
"375","V7301"
"376","V7302"
"377","V7303"
"378","V7401"
"379","V7402"
"380","V7403"
"381","V7404"
"382","V7405"
"383","V7406"
"384","V7407"
"385","V7408"
"386","TK7501"
"387","TK7502"
"388","TK7503"
"389","TK7504"
"390","TK7505"
"391","TK7506"
"392","TK7601"
"393","TK7602"
"394","TK7603"
"395","TK7604"
"396","TK7605"
"397","TK7606"
"398","TK7607"
"399","TK7608"
"400","TK7609"
"401","TK7701"
"402","TK7702"
"403","D0103A"
"404","D0103B"
"405","D0104A"
"406","D0104B"
"407","D0105"
"408","D0202A"
"409","D0202B"
"410","D0203"
"411","D0301A"
"412","D0301B"
"413","D0301C"
"414","D0401"
"415","D0402"
"416","D0405"
"417","D0501"
"418","D0601"
"419","D0605"
"480","TK4101"
"481","TK4102"
"482","5301A"
"483","5301B"
"484","5301C"
"485","5301D"
"486","5301E"
"487","5301F"
"488","5301G"
"489","5301H"
"490","8101"
"491","8102"
"492","8103"
"493","8104"
"494","8105"
"495","8106"
"496","58107"
"497","58108"
"498","58109"
"499","8401"
"500","8402"
"501","8403"
"502","8404"
"503","8405"
"504","8406"
"505","8407"
"506","8408"
"507","8409"
"508","8007"
"509","8008"
"510","8009"
"511","8010"
"512","8011"
"513","8012"
"514","68107"
"515","68108"
"516","68109"
"517","8110"
"518","8111"
"519","8112"
"528","POXA"
"529","POXB"
"530","TK9901"
"531","TK9902"
"532","TK9903"
"533","TK9904"
"538","TK0101A"
"539","TK0101B"
"540","TK0201A"
"541","TK0201B"
"542","燃料气管网"
"543","酸性气管网"
"544","7140TK5101"
"545","7140TK5201"
"546","7140TK5301"
"547","TK2301"
"548","TK2302"
"549","TK2303"
"550","TK2304"
"551","TK0201"
"552","TK0202"
"553","TK0203"
"554","TK0204"
"555","TK0301"
"556","TK0302"
"557","TK0303"
"558","TK0304"
"559","TK0401"
"560","TK0402"
"561","TK0403"
"562","TK0404"
"563","原油长输管线"
"564","原油卸油线"
"565","TK0101"
"566","TK0102"
"567","TK0103"
"568","TK0104"
"569","TK0501"
"570","TK0502"
"571","TK0503"
"572","TK0504"
